0, 9000
1, 4488
0, 588
1, 544
0, 584
1, 1676
0, 584
1, 544
0, 612
1, 516
0, 588
1, 544
0, 612
1, 540
0, 568
1, 536
0, 588
1, 1676
0, 584
1, 1672
0, 584
1, 568
0, 588
1, 1672
0, 592
1, 1664
0, 588
1, 520
0, 584
1, 1676
0, 612
1, 1668
0, 568
1, 540
0, 616
1, 512
0, 612
1, 1644
0, 592
1, 1672
0, 612
1, 1644
0, 588
1, 1668
0, 616
1, 1648
0, 612
1, 524
0, 580
1, 1668
0, 612
1, 1644
0, 588
1, 544
0, 616
1, 516
0, 612
1, 520
0, 608
1, 544
0, 560
1, 572
0, 560
1, 1672
0, 588
1, 568
0, 560
1, 41356
0, 9000
1, 2240
0, 612
