0, 9060
1, 4420
0, 652
1, 480
0, 676
1, 1584
0, 644
1, 484
0, 648
1, 480
0, 648
1, 484
0, 648
1, 484
0, 648
1, 480
0, 652
1, 1608
0, 648
1, 1612
0, 672
1, 460
0, 672
1, 1584
0, 648
1, 1612
0, 644
1, 484
0, 644
1, 1616
0, 676
1, 1584
0, 648
1, 480
0, 648
1, 484
0, 648
1, 1608
0, 652
1, 480
0, 648
1, 1608
0, 652
1, 1608
0, 648
1, 1612
0, 676
1, 452
0, 652
1, 1612
0, 644
1, 1616
0, 644
1, 484
0, 672
1, 1584
0, 648
1, 484
0, 652
1, 480
0, 672
1, 460
0, 668
1, 1584
0, 656
1, 476
0, 680
1, 41272
0, 9084
1, 2156
0, 648
1, 96676
0, 9092
1, 2152
0, 652
